
time: 2026-04-20 09:49:05.307999+03:00, elapsed: 0.850 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:49:35.422273+03:00, elapsed: 0.886 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:50:05.605641+03:00, elapsed: 1.002 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:50:35.711373+03:00, elapsed: 0.944 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:51:04.675621+03:00, elapsed: 0.870 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:51:34.953854+03:00, elapsed: 0.987 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:52:34.548266+03:00, elapsed: 0.811 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:53:04.574503+03:00, elapsed: 0.810 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:53:34.978368+03:00, elapsed: 0.975 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:54:04.855455+03:00, elapsed: 0.842 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:54:34.861859+03:00, elapsed: 0.779 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:55:05.392715+03:00, elapsed: 1.061 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:55:42.815965+03:00, elapsed: 8.575 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:56:05.825007+03:00, elapsed: 1.446 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:56:35.635137+03:00, elapsed: 0.988 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:57:05.571628+03:00, elapsed: 0.874 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:57:35.666055+03:00, elapsed: 0.826 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:58:05.945443+03:00, elapsed: 0.917 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:58:35.868718+03:00, elapsed: 0.877 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:59:06.039092+03:00, elapsed: 0.872 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:59:36.181601+03:00, elapsed: 0.762 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 10:00:07.820570+03:00, elapsed: 2.432 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 10:00:35.700576+03:00, elapsed: 1.231 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:01:16.930054+03:00, elapsed: 12.246 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:01:35.733550+03:00, elapsed: 1.044 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:02:05.994601+03:00, elapsed: 1.198 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:02:35.986883+03:00, elapsed: 0.968 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:03:06.136005+03:00, elapsed: 1.082 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:03:36.218640+03:00, elapsed: 1.025 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:04:06.387956+03:00, elapsed: 1.022 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:04:37.265707+03:00, elapsed: 1.891 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:05:05.522843+03:00, elapsed: 0.982 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:05:35.655917+03:00, elapsed: 0.888 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:06:05.815356+03:00, elapsed: 0.980 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:06:36.423596+03:00, elapsed: 1.448 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:07:06.167427+03:00, elapsed: 0.999 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:07:36.119365+03:00, elapsed: 0.998 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:08:06.318162+03:00, elapsed: 1.065 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:08:36.487749+03:00, elapsed: 1.069 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:09:06.406809+03:00, elapsed: 1.974 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:09:35.807415+03:00, elapsed: 1.179 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:10:06.027898+03:00, elapsed: 1.150 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:10:36.081797+03:00, elapsed: 1.263 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:11:06.146899+03:00, elapsed: 1.190 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:11:36.293389+03:00, elapsed: 1.217 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:12:06.144140+03:00, elapsed: 1.017 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:12:36.330771+03:00, elapsed: 1.062 sec, row count: 5114, max date: 2026-02
time: 2026-04-20 10:13:06.632180+03:00, elapsed: 1.284 sec, row count: 5114, max date: 2026-02
